# port,duration,pkt_size,rate,mbps,mpps,loss
0,60,256,4.0000,917.3283,0.4550,0.0014
1,60,256,4.0000,917.3128,0.4550,0.0033
2,60,256,4.0000,917.3261,0.4550,0.0019
3,60,256,4.0000,917.3438,0.4550,0.0000
0,60,256,5.0000,1146.5888,0.5687,0.0068
1,60,256,5.0000,1146.5846,0.5687,0.0071
2,60,256,5.0000,1146.6365,0.5688,0.0026
3,60,256,5.0000,1146.6668,0.5688,0.0000
0,60,256,6.0000,1353.0358,0.6711,0.0065
1,60,256,6.0000,1353.0208,0.6711,0.0078
2,60,256,6.0000,1353.0986,0.6712,0.0021
3,60,256,6.0000,1353.1280,0.6712,0.0000
0,60,256,7.0000,1604.6132,0.7959,0.0461
1,60,256,7.0000,1605.2305,0.7962,0.0076
2,60,256,7.0000,1605.2675,0.7963,0.0063
3,60,256,7.0000,1605.3709,0.7963,0.0000
0,60,256,8.0000,1833.4739,0.9095,0.0457
1,60,256,8.0000,1833.9082,0.9097,0.0258
2,60,256,8.0000,1834.2398,0.9098,0.0114
3,60,256,8.0000,1834.4508,0.9099,0.0000
0,60,256,9.0000,2027.0637,1.0055,0.0746
1,60,256,9.0000,2028.0593,1.0060,0.0228
2,60,256,9.0000,2029.2897,1.0066,0.0011
3,60,256,9.0000,2029.3092,1.0066,0.0000
0,60,256,10.0000,2284.9139,1.1334,0.1189
1,60,256,10.0000,2284.7332,1.1333,0.0990
2,60,256,10.0000,2291.8179,1.1368,0.0421
3,60,256,10.0000,2292.5928,1.1372,0.0103
0,60,256,11.0000,2508.6071,1.2443,0.0918
1,60,256,11.0000,2509.2414,1.2447,0.0751
2,60,256,11.0000,2521.3606,1.2507,0.0121
3,60,256,11.0000,2521.7206,1.2509,0.0013
0,60,256,12.0000,2689.8170,1.3342,0.4907
1,60,256,12.0000,2687.7483,1.3332,0.5671
2,60,256,12.0000,2705.0702,1.3418,0.0162
3,60,256,12.0000,2705.4142,1.3420,0.0033
0,60,256,13.0000,2969.5087,1.4730,0.3183
1,60,256,13.0000,2942.3362,1.4595,1.2267
2,60,256,13.0000,2979.7171,1.4780,0.0421
3,60,256,13.0000,2980.5133,1.4784,0.0008
0,60,256,14.0000,3122.6710,1.5489,2.5639
1,60,256,14.0000,3062.5071,1.5191,4.4594
2,60,256,14.0000,3208.8658,1.5917,0.0299
3,60,256,14.0000,3208.3470,1.5914,0.0095
0,60,256,15.0000,3032.3112,1.5041,10.1757
1,60,256,15.0000,3002.3841,1.4893,11.0635
2,60,256,15.0000,3370.1354,1.6717,0.0719
3,60,256,15.0000,3369.8727,1.6716,0.0360
0,60,256,16.0000,3156.4129,1.5657,13.7734
1,60,256,16.0000,3093.3181,1.5344,15.4965
2,60,256,16.0000,3646.6998,1.8089,0.0637
3,60,256,16.0000,3645.9045,1.8085,0.0301
0,60,256,17.0000,3183.4392,1.5791,18.1273
1,60,256,17.0000,2978.8952,1.4776,23.3931
2,60,256,17.0000,3877.8273,1.9235,0.0672
3,60,256,17.0000,3878.4476,1.9238,0.0180
0,60,256,18.0000,3064.1178,1.5199,24.3358
1,60,256,18.0000,3001.6788,1.4889,25.8867
2,60,256,18.0000,4043.3996,2.0057,0.0477
3,60,256,18.0000,4045.8264,2.0069,0.0273
0,60,256,19.0000,3083.0499,1.5293,29.0766
1,60,256,19.0000,3021.7312,1.4989,30.4975
2,60,256,19.0000,4323.2449,2.1445,0.0844
3,60,256,19.0000,4306.1487,2.1360,0.0500
0,60,256,20.0000,3128.3121,1.5517,31.6174
1,60,256,20.0000,2993.5954,1.4849,34.5726
2,60,256,20.0000,4550.9855,2.2574,0.0985
3,60,256,20.0000,4526.0392,2.2451,0.0309
0,60,256,21.0000,3090.4919,1.5330,34.5731
1,60,256,21.0000,2965.8918,1.4712,37.2205
2,60,256,21.0000,4635.5831,2.2994,1.7182
3,60,256,21.0000,4680.9457,2.3219,0.8004
0,60,512,1.0000,239.8692,0.0590,0.0000
1,60,512,1.0000,239.8736,0.0590,0.0000
2,60,512,1.0000,239.8696,0.0590,0.0000
3,60,512,1.0000,239.8696,0.0590,0.0000
0,60,512,2.0000,479.7298,0.1180,0.0000
1,60,512,2.0000,479.7341,0.1180,0.0000
2,60,512,2.0000,479.7344,0.1180,0.0000
3,60,512,2.0000,479.7344,0.1180,0.0000
0,60,512,3.0000,719.5686,0.1771,0.0000
1,60,512,3.0000,719.5730,0.1771,0.0000
2,60,512,3.0000,719.5733,0.1771,0.0000
3,60,512,3.0000,719.5690,0.1771,0.0000
0,60,512,4.0000,959.4205,0.2361,0.0000
1,60,512,4.0000,959.4205,0.2361,0.0000
2,60,512,4.0000,959.4210,0.2361,0.0000
3,60,512,4.0000,959.4253,0.2361,0.0000
0,60,512,5.0000,1179.2176,0.2902,0.0008
1,60,512,5.0000,1179.2264,0.2902,0.0005
2,60,512,5.0000,1179.2136,0.2902,0.0012
3,60,512,5.0000,1179.2323,0.2902,0.0000
0,60,512,6.0000,1439.1112,0.3541,0.0000
1,60,512,6.0000,1439.0982,0.3541,0.0000
2,60,512,6.0000,1439.1159,0.3541,0.0000
3,60,512,6.0000,1439.1159,0.3541,0.0000
0,60,512,7.0000,1678.8417,0.4131,0.0000
1,60,512,7.0000,1678.8677,0.4131,0.0000
2,60,512,7.0000,1678.8413,0.4131,0.0021
3,60,512,7.0000,1678.8575,0.4131,0.0011
0,60,512,8.0000,1886.5924,0.4642,0.0023
1,60,512,8.0000,1886.4926,0.4642,0.0079
2,60,512,8.0000,1886.5804,0.4642,0.0034
3,60,512,8.0000,1886.5456,0.4642,0.0053
0,60,512,9.0000,2158.2287,0.5311,0.0070
1,60,512,9.0000,2158.3804,0.5311,0.0000
2,60,512,9.0000,2158.3332,0.5311,0.0026
3,60,512,9.0000,2158.3678,0.5311,0.0010
0,60,512,10.0000,2398.0849,0.5901,0.0085
1,60,512,10.0000,2398.2669,0.5901,0.0009
2,60,512,10.0000,2398.2937,0.5901,0.0000
3,60,512,10.0000,2398.2067,0.5901,0.0034
0,60,512,11.0000,2594.2709,0.6384,0.0035
1,60,512,11.0000,2594.0541,0.6383,0.0122
2,60,512,11.0000,2594.2795,0.6384,0.0035
3,60,512,11.0000,2594.3756,0.6384,0.0000
0,60,512,12.0000,2877.5457,0.7081,0.0212
1,60,512,12.0000,2877.8970,0.7081,0.0092
2,60,512,12.0000,2878.1443,0.7082,0.0006
3,60,512,12.0000,2877.6368,0.7081,0.0182
0,60,512,13.0000,3117.3370,0.7671,0.0070
1,60,512,13.0000,3117.2034,0.7670,0.0119
