port,duration,pkt_size,rate,mbps,mpps,loss
1,60,256,1.0000,54.6053,0.1138,0.0000
2,60,256,1.0000,54.6057,0.1138,0.0000
3,60,256,1.0000,54.6057,0.1138,0.0000
0,60,256,2.0000,107.3879,0.2237,0.0000
1,60,256,2.0000,107.3884,0.2237,0.0000
2,60,256,2.0000,107.3889,0.2237,0.0000
3,60,256,2.0000,107.3889,0.2237,0.0000
0,60,256,3.0000,163.8119,0.3413,0.0000
1,60,256,3.0000,163.8139,0.3413,0.0000
2,60,256,3.0000,163.8143,0.3413,0.0000
3,60,256,3.0000,163.8143,0.3413,0.0000
0,60,256,4.0000,218.3972,0.4550,0.0000
1,60,256,4.0000,218.3972,0.4550,0.0000
2,60,256,4.0000,218.3986,0.4550,0.0000
3,60,256,4.0000,218.3981,0.4550,0.0000
0,60,256,5.0000,268.4217,0.5592,0.0000
1,60,256,5.0000,268.4217,0.5592,0.0000
2,60,256,5.0000,268.4271,0.5592,0.0000
3,60,256,5.0000,268.4302,0.5592,0.0000
0,60,256,6.0000,327.5754,0.6824,0.0102
1,60,256,6.0000,327.5847,0.6825,0.0074
2,60,256,6.0000,327.6133,0.6825,0.0000
3,60,256,6.0000,327.6139,0.6825,0.0000
0,60,256,7.0000,382.0998,0.7960,0.0011
1,60,256,7.0000,382.1051,0.7961,0.0000
2,60,256,7.0000,382.1879,0.7962,0.0000
3,60,256,7.0000,382.1935,0.7962,0.0000
0,60,256,8.0000,427.8189,0.8913,0.3765
1,60,256,8.0000,427.8548,0.8914,0.3683
2,60,256,8.0000,429.4451,0.8947,0.0000
3,60,256,8.0000,429.4451,0.8947,0.0000
0,60,256,9.0000,490.8599,1.0226,0.0839
1,60,256,9.0000,490.7184,1.0223,0.1128
2,60,256,9.0000,491.2941,1.0235,0.0000
3,60,256,9.0000,491.2930,1.0235,0.0000
0,60,256,10.0000,519.2583,1.0818,4.8371
1,60,256,10.0000,518.5681,1.0804,4.9636
2,60,256,10.0000,545.7381,1.1370,0.0000
3,60,256,10.0000,545.7381,1.1370,0.0000
0,60,256,11.0000,587.5503,1.2241,0.4158
1,60,256,11.0000,587.3465,1.2236,0.4504
2,60,256,11.0000,590.1034,1.2294,0.0000
3,60,256,11.0000,590.1044,1.2294,0.0000
0,60,256,12.0000,622.4805,1.2968,4.9058
1,60,256,12.0000,572.1633,1.1920,12.5928
2,60,256,12.0000,654.4633,1.3635,0.0003
3,60,256,12.0000,654.4649,1.3635,0.0000
0,60,256,13.0000,588.9935,1.2271,16.9546
1,60,256,13.0000,530.5551,1.1053,25.1945
2,60,256,13.0000,708.6011,1.4763,0.0030
3,60,256,13.0000,708.6129,1.4763,0.0011
0,60,256,14.0000,435.4048,0.9071,42.0452
1,60,256,14.0000,379.2074,0.7900,49.5253
2,60,256,14.0000,751.4687,1.5656,0.0026
3,60,256,14.0000,751.4777,1.5656,0.0013
0,60,256,15.0000,460.3277,0.9590,43.7515
1,60,256,15.0000,410.8988,0.8560,49.7914
2,60,256,15.0000,818.7235,1.7057,0.0005
