port,duration,pkt_size,rate,mbps,mpps,loss
3,60,512,24.0000,5749.2273,1.4147,0.0170
0,60,512,25.0000,5981.7693,1.4719,0.0851
1,60,512,25.0000,5980.7775,1.4716,0.1038
2,60,512,25.0000,5994.0686,1.4749,0.0265
3,60,512,25.0000,5991.6888,1.4743,0.0198
0,60,512,26.0000,6112.3739,1.5040,0.1046
1,60,512,26.0000,6111.6880,1.5039,0.1173
2,60,512,26.0000,6127.5282,1.5078,0.0571
3,60,512,26.0000,6128.8349,1.5081,0.0308
0,60,512,27.0000,6451.2823,1.5874,0.0769
1,60,512,27.0000,6450.7671,1.5873,0.0855
2,60,512,27.0000,6473.1697,1.5928,0.0257
3,60,512,27.0000,6473.3412,1.5928,0.0225
0,60,512,28.0000,6686.0797,1.6452,0.0915
1,60,512,28.0000,6685.9099,1.6452,0.1067
2,60,512,28.0000,6712.8005,1.6518,0.0109
3,60,512,28.0000,6712.0331,1.6516,0.0225
0,60,512,29.0000,6929.3215,1.7050,0.1173
1,60,512,29.0000,6931.6450,1.7056,0.0743
2,60,512,29.0000,6952.9644,1.7109,0.0257
3,60,512,29.0000,6953.3201,1.7110,0.0208
0,60,512,30.0000,7174.6787,1.7654,0.1030
1,60,512,30.0000,7170.9290,1.7645,0.1546
2,60,512,30.0000,7189.5608,1.7691,0.0161
3,60,512,30.0000,7188.1419,1.7687,0.0365
0,60,512,31.0000,7276.4196,1.7905,0.3100
1,60,512,31.0000,7282.2588,1.7919,0.2271
2,60,512,31.0000,7298.4803,1.7959,0.0253
3,60,512,31.0000,7299.6583,1.7962,0.0112
0,60,512,32.0000,7630.6661,1.8776,0.3884
1,60,512,32.0000,7654.2135,1.8834,0.0805
2,60,512,32.0000,7651.2703,1.8827,0.0078
3,60,512,32.0000,7650.4189,1.8825,0.0306
0,60,512,33.0000,7892.2350,1.9420,0.0986
1,60,512,33.0000,7868.5844,1.9362,0.3971
2,60,512,33.0000,7877.1549,1.9383,0.0175
3,60,512,33.0000,7883.1718,1.9398,0.0253
0,60,512,34.0000,7997.5019,1.9679,0.1347
1,60,512,34.0000,8001.3548,1.9688,0.0867
2,60,512,34.0000,7991.4888,1.9664,0.0051
3,60,512,34.0000,7993.0969,1.9668,0.0263
0,60,512,35.0000,8373.5609,2.0604,0.1403
1,60,512,35.0000,8329.9948,2.0497,0.6593
2,60,512,35.0000,8355.7446,2.0560,0.0482
3,60,512,35.0000,8360.7342,2.0573,0.0285
0,60,512,36.0000,8591.4189,2.1140,0.3456
1,60,512,36.0000,8607.4392,2.1180,0.1643
2,60,512,36.0000,8604.6564,2.1173,0.0276
3,60,512,36.0000,8605.4801,2.1175,0.0292
0,60,512,37.0000,8661.1974,2.1312,0.6382
1,60,512,37.0000,8687.6036,2.1377,0.3454
2,60,512,37.0000,8694.6968,2.1394,0.0554
3,60,512,37.0000,8696.1149,2.1398,0.0474
0,60,512,38.0000,9000.8536,2.2148,1.1129
1,60,512,38.0000,9038.7187,2.2241,0.7021
2,60,512,38.0000,9082.1803,2.2348,0.0218
3,60,512,38.0000,9082.3272,2.2348,0.0287
0,60,512,39.0000,9249.6464,2.2760,0.9444
1,60,512,39.0000,9273.6490,2.2819,0.7132
2,60,512,39.0000,9313.8861,2.2918,0.0265
3,60,512,39.0000,9328.2304,2.2953,0.0279
0,60,512,40.0000,9130.6180,2.2467,2.9802
1,60,512,40.0000,9036.0861,2.2234,4.0261
2,60,512,40.0000,9397.3470,2.3123,0.0149
3,60,512,40.0000,9401.7155,2.3134,0.0479
0,60,512,41.0000,9232.2305,2.2717,5.8959
1,60,512,41.0000,9577.2028,2.3566,2.4075
2,60,512,41.0000,9800.8811,2.4116,0.0259
3,60,512,41.0000,9799.9719,2.4114,0.0576
0,60,512,42.0000,9093.6740,2.2376,9.5176
1,60,512,42.0000,9865.4671,2.4275,1.8395
2,60,512,42.0000,10032.5933,2.4686,0.0519
3,60,512,42.0000,10034.5212,2.4691,0.0361
0,60,512,43.0000,9388.3255,2.3101,7.1977
1,60,512,43.0000,10017.5193,2.4649,0.9995
