port,duration,pkt_size,rate,mbps,mpps,loss
0,60,128,14.0000,2057.5066,2.0741,29.9126
1,60,128,14.0000,2140.0727,2.1573,27.0880
2,60,128,14.0000,2913.6595,2.9372,0.0682
3,60,128,14.0000,2918.1671,2.9417,0.0443
0,60,128,15.0000,2099.8413,2.1168,32.1113
1,60,128,15.0000,2074.9255,2.0917,32.9300
2,60,128,15.0000,3051.4252,3.0760,0.1113
3,60,128,15.0000,3085.5288,3.1104,0.0563
0,60,128,16.0000,2124.7339,2.1419,36.6857
1,60,128,16.0000,2117.7704,2.1348,36.9096
2,60,128,16.0000,3348.9469,3.3760,0.0578
3,60,128,16.0000,3354.5968,3.3816,0.0765
0,60,128,17.0000,2126.9730,2.1441,40.3201
1,60,128,17.0000,2119.1364,2.1362,40.5494
2,60,128,17.0000,3570.5540,3.5993,0.0721
3,60,128,17.0000,3558.6325,3.5873,0.0723
0,60,128,18.0000,2310.4395,2.3291,37.6658
1,60,128,18.0000,2278.0702,2.2964,38.5182
2,60,128,18.0000,3714.2771,3.7442,0.0645
3,60,128,18.0000,3702.9382,3.7328,0.0511
0,60,128,19.0000,2247.3917,2.2655,43.5476
1,60,128,19.0000,2315.0032,2.3337,41.7968
2,60,128,19.0000,3986.9674,4.0191,0.0775
3,60,128,19.0000,3979.4716,4.0116,0.0827
0,60,128,20.0000,2364.1325,2.3832,43.5105
1,60,128,20.0000,2342.1614,2.3610,44.0476
2,60,128,20.0000,4190.6370,4.2244,0.1048
3,60,128,20.0000,4182.1328,4.2159,0.0683
0,60,128,21.0000,2267.4633,2.2857,47.5460
1,60,128,21.0000,2273.1645,2.2915,47.3901
2,60,128,21.0000,4319.8324,4.3547,0.1207
3,60,128,21.0000,3978.3890,4.0105,7.7417
0,60,256,1.0000,229.3554,0.1138,0.0000
1,60,256,1.0000,229.3554,0.1138,0.0000
2,60,256,1.0000,229.3557,0.1138,0.0000
3,60,256,1.0000,229.3557,0.1138,0.0000
0,60,256,2.0000,458.7128,0.2275,0.0000
1,60,256,2.0000,458.7106,0.2275,0.0000
2,60,256,2.0000,458.7130,0.2275,0.0000
3,60,256,2.0000,458.7109,0.2275,0.0000
0,60,256,3.0000,676.5763,0.3356,0.0000
1,60,256,3.0000,676.5762,0.3356,0.0000
2,60,256,3.0000,676.5666,0.3356,0.0017
3,60,256,3.0000,676.5741,0.3356,0.0006
0,60,256,4.0000,917.3323,0.4550,0.0005
1,60,256,4.0000,917.3108,0.4550,0.0028
2,60,256,4.0000,917.3417,0.4550,0.0000
3,60,256,4.0000,917.3395,0.4550,0.0000
0,60,256,5.0000,1146.6536,0.5688,0.0004
1,60,256,5.0000,1146.6214,0.5688,0.0032
2,60,256,5.0000,1146.6579,0.5688,0.0002
3,60,256,5.0000,1146.6237,0.5688,0.0032
0,60,256,6.0000,1352.9693,0.6711,0.0111
1,60,256,6.0000,1352.9780,0.6711,0.0105
2,60,256,6.0000,1353.0987,0.6712,0.0016
3,60,256,6.0000,1353.0363,0.6711,0.0048
0,60,256,7.0000,1605.2092,0.7962,0.0092
1,60,256,7.0000,1605.2565,0.7963,0.0066
